DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-06-02 09:00:00,2021,Jun,10,CDH,2,1,900,160.0,5.0,,60.0,1,2.0,2360.0,,,,,,30.0,25.2,23.2,67.0,969.5,1004.0,1006.4,,,
2021-06-02 09:30:00,2021,Jun,17,HND,2,1,930,60.0,5.0,,50.0,2,2.0,2075.0,,,,,,30.4,24.8,22.2,62.0,980.9,1004.5,1006.2,,,
2021-06-02 09:30:00,2021,Jun,56,GKP,2,1,930,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,30.0,25.8,24.0,70.0,996.0,1004.7,1005.3,,,
2021-06-02 09:30:00,2021,Jun,10,CDH,2,1,930,160.0,7.0,,60.0,1,1.0,1360.0,,,,,,30.9,26.0,24.1,67.0,969.6,1004.0,1006.5,,,
2021-06-02 09:30:00,2021,Jun,1,SNG,2,1,930,999.0,2.0,,60.0,2,4.0,2615.0,3620.0,,,,,17.7,15.2,13.8,77.0,833.7,1494.0,1018.4,,,
2021-06-02 10:00:00,2021,Jun,17,HND,2,1,1000,80.0,5.0,,60.0,2,2.0,2075.0,,,,,,31.0,25.0,22.2,60.0,980.9,1004.5,1006.2,,,
2021-06-02 10:00:00,2021,Jun,1,SNG,2,1,1000,230.0,3.0,,60.0,1,4.0,2615.0,3620.0,,,,,18.5,15.9,14.2,76.0,833.6,1493.0,1018.3,,,
2021-06-02 10:00:00,2021,Jun,10,CDH,2,1,1000,180.0,6.0,,60.0,2,1.0,1360.0,,,,,,31.2,26.3,24.1,66.0,969.7,1004.0,1006.6,,,
2021-06-02 10:00:00,2021,Jun,56,GKP,2,1,1000,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,30.2,25.6,24.2,68.0,996.0,1004.7,1005.2,,,
2021-06-02 10:30:00,2021,Jun,1,SNG,2,1,1030,60.0,3.0,,60.0,1,3.0,1615.0,3620.0,,,,,19.6,16.7,15.0,75.0,833.4,1490.0,1018.1,,,
2021-06-02 10:30:00,2021,Jun,56,GKP,2,1,1030,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,31.0,25.8,23.8,66.0,996.0,1004.7,1005.2,,,
2021-06-02 10:30:00,2021,Jun,10,CDH,2,1,1030,200.0,6.0,,60.0,3,3.0,3075.0,,,,,,31.8,26.7,24.6,66.0,969.6,1003.8,1006.5,,,
2021-06-02 10:30:00,2021,Jun,17,HND,2,1,1030,80.0,6.0,,60.0,3,3.0,3075.0,,,,,,31.2,25.0,22.1,59.0,980.9,1004.5,1006.2,,,
2021-06-02 11:00:00,2021,Jun,17,HND,2,1,1100,70.0,6.0,,60.0,3,4.0,4075.0,,,,,,32.2,24.8,21.2,52.0,980.8,1004.3,1006.1,,,
2021-06-02 11:00:00,2021,Jun,1,SNG,2,1,1100,999.0,2.0,,60.0,2,3.0,1615.0,3625.0,,,,,19.8,16.6,14.4,71.0,833.1,1486.0,1017.7,,,
2021-06-02 11:00:00,2021,Jun,56,GKP,2,1,1100,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,31.2,26.0,24.0,64.0,995.8,1004.5,1005.0,,,
2021-06-02 11:00:00,2021,Jun,10,CDH,2,1,1100,220.0,6.0,,60.0,2,3.0,1360.0,3075.0,,,,,32.8,27.0,24.8,63.0,969.7,1003.8,1006.6,,,
2021-06-02 11:30:00,2021,Jun,56,GKP,2,4,1130,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,31.4,26.0,24.2,62.0,995.8,1004.5,1005.0,,0.0,0.0
2021-06-02 11:30:00,2021,Jun,17,HND,2,4,1130,180.0,6.0,,60.0,2,4.0,1360.0,4075.0,,,,,32.8,25.2,21.6,52.0,980.5,1004.0,1005.8,,0.0,0.0
2021-06-02 11:30:00,2021,Jun,1,SNG,2,4,1130,250.0,4.0,,60.0,2,3.0,1615.0,3625.0,,,,,20.4,17.0,14.9,71.0,832.8,1484.0,1017.3,,0.0,0.0
2021-06-02 11:30:00,2021,Jun,10,CDH,2,4,1130,200.0,7.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.0,26.9,24.7,62.0,969.7,1003.8,1006.6,,0.0,0.0
2021-06-02 12:00:00,2021,Jun,10,CDH,2,1,1200,200.0,6.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.4,27.3,25.1,62.0,969.4,1003.4,1006.3,,,
2021-06-02 12:00:00,2021,Jun,1,SNG,2,1,1200,999.0,2.0,,60.0,1,2.0,2620.0,,,,,,21.4,18.0,15.7,70.0,832.5,1479.0,1017.0,,,
2021-06-02 12:00:00,2021,Jun,56,GKP,2,1,1200,999.0,2.0,,60.0,3,3.0,1630.0,3075.0,,,,,32.4,26.2,23.2,56.0,995.8,1004.5,1005.0,,,
2021-06-02 12:00:00,2021,Jun,17,HND,2,1,1200,999.0,2.0,,60.0,3,6.0,4360.0,4075.0,,,,,33.4,25.6,22.0,51.0,980.3,1003.8,1005.6,,,
2021-06-02 12:30:00,2021,Jun,56,GKP,2,1,1230,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,32.6,26.2,23.2,55.0,994.3,1004.0,1004.5,,,
2021-06-02 12:30:00,2021,Jun,17,HND,2,1,1230,220.0,3.0,,60.0,2,6.0,2625.0,5360.0,,,,,33.4,25.6,22.0,51.0,980.1,1003.6,1005.4,,,
2021-06-02 12:30:00,2021,Jun,10,CDH,2,1,1230,200.0,7.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.4,26.7,24.0,58.0,969.3,1003.4,1006.2,,,
2021-06-02 12:30:00,2021,Jun,1,SNG,2,1,1230,260.0,4.0,,60.0,2,2.0,2620.0,,,,,,21.9,18.1,16.0,69.0,832.3,1477.0,1016.7,,,
2021-06-02 13:00:00,2021,Jun,10,CDH,2,1,1300,190.0,6.0,,60.0,1,2.0,1630.0,1830.0,2075.0,,,,34.1,26.8,23.8,55.0,969.0,1003.0,1006.0,,,
2021-06-02 13:00:00,2021,Jun,1,SNG,2,1,1300,300.0,4.0,,60.0,2,2.0,2625.0,,,,,,22.1,17.9,15.5,65.0,832.0,1474.0,1016.4,,,
2021-06-02 13:00:00,2021,Jun,56,GKP,2,1,1300,999.0,2.0,,60.0,2,3.0,3630.0,,,,,,33.0,26.6,23.8,59.0,995.2,1004.0,1004.5,,,
2021-06-02 13:00:00,2021,Jun,17,HND,2,1,1300,999.0,2.0,,60.0,1,5.0,2625.0,4360.0,,,,,36.8,26.2,21.3,41.0,979.8,1003.1,1005.1,,,
